Date,Meat Price Index,Dairy Price Index,Cereals Price Index,Oils Price Index,Sugar Price Index
1990-01-01,112.3,94.3,106.4,73.0,201.5
1990-02-01,117.7,91.9,104.0,72.5,207.9
1990-03-01,119.6,73.6,102.1,74.6,218.0
1990-04-01,131.0,85.2,105.1,71.8,216.3
1990-05-01,130.5,70.0,105.3,74.4,207.2
1990-06-01,132.7,70.0,103.1,71.7,184.0
1990-07-01,131.3,70.0,96.8,71.6,170.1
1990-08-01,130.0,66.1,93.5,74.2,155.1
1990-09-01,136.9,68.4,87.2,73.2,157.1
1990-10-01,134.7,69.8,88.5,74.6,139.3
1990-11-01,130.9,70.8,87.7,78.6,142.9
1990-12-01,134.4,80.2,88.0,80.5,138.2
1991-01-01,130.0,83.7,89.8,80.3,124.9
1991-02-01,136.2,83.3,91.2,78.6,120.8
1991-03-01,130.2,81.5,94.2,79.1,129.7
1991-04-01,125.9,76.4,95.2,76.4,120.8
1991-05-01,127.5,74.9,94.0,75.5,107.6
1991-06-01,126.7,76.8,93.2,75.8,130.6
1991-07-01,126.9,71.5,92.3,78.7,146.3
1991-08-01,125.4,73.8,96.4,80.1,134.2
1991-09-01,128.1,80.5,97.1,79.4,131.8
1991-10-01,131.4,86.6,100.8,84.0,129.4
1991-11-01,134.0,90.1,100.9,84.8,122.9
1991-12-01,131.5,90.1,104.0,86.1,127.7
1992-01-01,129.3,93.1,106.2,87.0,118.1
1992-02-01,132.2,93.1,109.4,85.2,111.3
1992-03-01,129.1,92.3,109.4,88.2,116.6
1992-04-01,126.5,92.3,104.5,87.8,134.2
1992-05-01,125.9,96.1,103.0,88.1,136.1
1992-06-01,127.9,101.3,102.2,89.3,147.0
1992-07-01,127.1,102.2,97.8,84.4,146.3
1992-08-01,127.9,100.0,93.0,82.5,139.5
1992-09-01,124.6,102.9,96.5,84.5,132.1
1992-10-01,123.8,97.0,96.5,84.5,123.6
1992-11-01,127.0,94.5,97.8,87.3,121.6
1992-12-01,119.0,93.7,97.0,85.7,115.7
1993-01-01,122.1,93.5,97.6,87.1,116.9
1993-02-01,121.9,94.7,96.5,87.4,121.5
1993-03-01,122.3,93.6,96.4,85.7,150.7
1993-04-01,119.5,92.1,95.5,85.1,158.2
1993-05-01,121.9,90.9,92.4,83.6,167.9
1993-06-01,124.4,90.8,88.1,82.7,147.4
1993-07-01,123.6,87.4,93.2,86.4,137.4
1993-08-01,118.5,84.3,94.7,85.1,132.5
1993-09-01,118.5,79.5,97.6,84.8,135.4
1993-10-01,118.9,72.6,102.9,83.8,146.0
1993-11-01,119.1,73.1,111.4,90.6,143.6
1993-12-01,115.0,74.2,114.7,102.6,149.3
1994-01-01,112.8,80.4,114.1,103.3,146.2
1994-02-01,113.6,80.3,111.7,98.2,153.5
1994-03-01,112.2,81.1,107.1,99.7,166.6
1994-04-01,111.9,74.4,104.2,103.4,156.2
1994-05-01,117.3,74.4,102.9,109.9,164.3
1994-06-01,113.6,79.0,100.3,110.7,171.0
1994-07-01,113.0,79.8,93.2,108.5,167.0
1994-08-01,115.4,81.4,95.2,118.3,171.7
1994-09-01,114.7,87.7,100.1,130.0,178.7
1994-10-01,115.2,91.5,102.2,127.4,180.9
1994-11-01,120.1,93.2,101.2,142.6,197.8
1994-12-01,113.9,96.6,103.5,142.7,208.2
1995-01-01,115.1,104.1,103.9,133.3,209.4
1995-02-01,122.2,108.8,103.1,133.4,204.5
1995-03-01,126.4,112.2,102.6,135.7,207.0
1995-04-01,122.5,110.2,103.5,125.4,194.4
1995-05-01,121.0,109.6,107.7,123.4,191.9
1995-06-01,118.4,109.7,113.7,128.9,198.9
1995-07-01,125.2,113.4,121.9,134.2,192.8
1995-08-01,126.0,115.8,119.6,128.2,184.2
1995-09-01,129.3,116.4,124.6,123.3,165.9
1995-10-01,129.7,117.2,131.3,129.0,168.0
1995-11-01,128.0,117.2,131.7,127.5,170.0
1995-12-01,123.6,116.4,135.3,122.0,174.7
1996-01-01,130.7,116.1,136.7,114.6,177.8
1996-02-01,130.6,115.3,140.3,111.6,181.8
1996-03-01,134.5,111.6,142.8,110.9,183.2
1996-04-01,130.8,110.7,156.5,119.4,170.0
1996-05-01,136.7,107.2,164.3,119.4,161.6
1996-06-01,136.6,107.1,155.3,112.5,172.7
1996-07-01,136.8,107.2,150.0,108.1,181.8
1996-08-01,142.1,106.0,142.1,112.6,175.5
1996-09-01,142.4,105.7,124.2,116.0,169.1
1996-10-01,137.2,106.7,118.3,112.2,157.8
1996-11-01,134.4,105.0,112.2,113.7,152.1
1996-12-01,133.6,106.2,112.7,114.1,152.4
1997-01-01,126.6,107.8,112.7,115.2,151.7
1997-02-01,129.2,107.3,113.6,116.5,153.4
1997-03-01,135.0,106.4,117.1,114.4,157.7
1997-04-01,136.6,105.3,117.8,115.2,160.4
1997-05-01,137.7,104.3,114.4,115.5,158.1
1997-06-01,131.5,103.9,108.2,111.8,162.2
1997-07-01,130.0,103.4,103.7,106.2,159.2
1997-08-01,129.1,102.4,109.0,106.4,166.0
1997-09-01,127.2,105.3,108.3,110.5,160.8
1997-10-01,123.7,108.7,109.7,117.7,161.9
1997-11-01,123.2,110.0,107.5,123.8,170.5
1997-12-01,114.1,110.0,106.0,121.5,175.0
1998-01-01,110.6,109.9,104.8,127.3,163.9
1998-02-01,110.7,106.5,104.7,131.0,152.1
1998-03-01,111.5,103.2,105.2,134.9,139.6
1998-04-01,111.5,102.1,101.4,137.2,137.5
1998-05-01,108.1,100.3,100.4,143.3,131.0
1998-06-01,110.6,98.2,98.6,131.9,114.9
1998-07-01,107.3,98.7,96.0,133.2,122.6
1998-08-01,104.8,98.8,90.3,132.8,120.3
1998-09-01,105.2,96.0,89.9,135.6,102.6
1998-10-01,104.2,93.2,96.2,135.7,105.9
1998-11-01,101.4,92.8,97.3,135.4,114.4
1998-12-01,102.8,93.5,95.3,132.1,114.6
1999-01-01,100.6,93.0,95.9,124.7,115.1
1999-02-01,100.5,91.3,92.4,110.9,96.8
1999-03-01,100.6,89.1,92.8,101.0,85.4
1999-04-01,98.4,84.6,90.7,105.1,76.9
1999-05-01,98.7,83.8,89.1,100.9,81.6
1999-06-01,100.1,83.0,89.9,89.3,85.6
1999-07-01,101.0,81.7,86.8,79.2,76.3
1999-08-01,103.6,82.3,89.3,85.4,81.6
1999-09-01,101.6,83.7,88.8,88.3,94.6
1999-10-01,99.8,84.5,86.5,86.5,96.1
1999-11-01,100.0,85.5,85.6,84.0,92.2
1999-12-01,97.2,86.8,83.8,81.1,85.3
2000-01-01,92.9,89.0,86.6,79.5,79.6
2000-02-01,97.6,88.3,87.7,75.8,75.1
2000-03-01,99.3,87.7,86.6,77.7,72.9
2000-04-01,96.6,88.1,87.2,80.2,85.4
2000-05-01,97.5,88.6,87.7,72.2,98.1
2000-06-01,98.3,93.1,85.2,69.3,118.8
2000-07-01,98.0,97.2,81.3,69.0,136.7
2000-08-01,95.7,98.4,80.2,67.2,148.1
2000-09-01,94.5,101.1,82.3,62.0,142.3
2000-10-01,94.4,103.6,86.5,59.0,152.5
2000-11-01,94.8,103.6,87.8,60.9,140.9
2000-12-01,98.4,104.4,90.2,61.2,142.2
2001-01-01,92.3,103.5,90.3,59.7,146.5
2001-02-01,98.7,103.0,88.7,57.1,140.1
2001-03-01,103.2,103.6,87.9,60.8,131.6
2001-04-01,102.1,102.6,85.6,60.2,124.1
2001-05-01,104.6,106.8,85.9,57.6,136.0
2001-06-01,102.3,108.2,84.9,61.5,128.3
2001-07-01,101.7,109.2,87.8,75.5,124.8
2001-08-01,101.5,108.3,86.9,79.6,115.1
2001-09-01,101.6,107.5,86.1,71.8,108.4
2001-10-01,99.8,109.0,85.0,68.2,96.4
2001-11-01,97.4,105.6,86.2,75.2,108.9
2001-12-01,96.0,99.1,86.6,78.7,111.1
2002-01-01,93.9,92.6,86.7,77.0,110.5
2002-02-01,93.1,91.8,84.9,74.7,92.9
2002-03-01,96.3,87.6,84.2,74.5,95.0
2002-04-01,92.0,84.9,82.7,77.2,97.7
2002-05-01,89.9,78.0,84.9,81.6,86.2
2002-06-01,91.2,75.3,87.3,88.4,81.6
2002-07-01,90.7,72.6,92.6,89.3,90.6
2002-08-01,88.1,71.6,99.2,94.7,89.3
2002-09-01,87.7,74.0,108.8,90.4,98.8
2002-10-01,85.4,76.0,108.1,93.9,106.6
2002-11-01,86.4,79.9,105.1,102.1,111.1
2002-12-01,84.5,86.3,100.0,105.1,112.8
2003-01-01,86.4,89.8,97.6,102.5,116.2
2003-02-01,88.3,92.3,98.0,99.7,127.7
